Project Manager,Myself (Hiring Subcontractors),
Contractor Phone,"",
General Contractor,"",
License Number,"",
License Location,"",
Comments,"",
"",,
Quality,Mid-Range,
Currently Occupied,No,
Estimated Time(in weeks),,
Permit Required,,
Time for Permit(in days),,
Sq Footage Increase,,
Foundational Work,,
Structural Work,,
Disaster Repair,No,
Construction cost over 50% of purchase,,
Narrative Description,Moderate Rehab,
Above Ground Structure Sq. Footage,1022,
Above Ground Structure Rehab Sq. Footage,1022,
Above Ground Structure Bedrooms,3,
Above Ground Structure Rehab Bedrooms,3,
Above Ground Structure Bathrooms,1,
Above Ground Structure Rehab Bathrooms,1,
Above Ground Structure Property Type,Single Family Residence,
Above Ground Structure Rehab Property Type,Single Family Residence,
Below Ground Structure Sq. Footage,0,
Below Ground Structure Rehab Sq. Footage,0,
Below Ground Structure Living Rooms,0,
Below Ground Structure Rehab Living Rooms,0,
Below Ground Structure Bedrooms,0,
Below Ground Structure Rehab Bedrooms,0,
Below Ground Structure Bathrooms,0,
Below Ground Structure Rehab Bathrooms,0,
"",,
Division 01: Plans / Permits,"",0.00
Division 02: Demolition,"Demo kitchen, floors, remove appliances",1000.00
Division 03: Foundation,Fix subfloor underneath bathroom,3000.00
Division 04: Roof / Gutters,Repair roof,3000.00
Division 05: Exterior / Siding,"",0.00
Division 06: Windows,"",0.00
Division 07: Garage / Driveway,"",0.00
Division 08: Framing,"",0.00
Division 09: Finish Carpentry,"",0.00
Division 10: Sheetrock / Insulation,Repair sheetrock and replace where needed,1500.00
Division 11: Interior Paint,New paint throughout the interior,3000.00
Division 12: Flooring,New laminate hardwood entire house. Tile in bathroom,3500.00
Division 13: Kitchen,Repair cabinets and add 1 cabinet. new granite counter tops and new back splash,5000.00
Division 14: Bathrooms,"New Tile, new vanity, new toilet",3000.00
Division 15: Plumbing Work,"",0.00
Division 16: Electrical Work,Repair electric system,1000.00
Division 17: HVAC Work,Repair HVAC system,600.00
Division 18: Appliances,"New fridge, microwave, dishwasher, range",3500.00
Division 19: Yard / Landscaping,cutting trees back and cleaning up yard,1000.00
Division 20: Basement Finishes,"",0.00
Division 21:,"New lighting fixtures, hardware on doors.  and windows",1500.00
Division 22:,"",0.00
Contingency,"",1530.00
Total Construction Cost,"",32130.00
"",,
